YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
2009,FEB,0.14786291875240662,0.1101895734597158,0.38424437299035374,0.6885633270321359,0.5626043405676127,3
2010,FEB,0.08779360800924144,0.3696682464454977,0.5257234726688103,0.6654064272211722,0.696160267111853,3
2011,FEB,0.1671159029649596,0.18483412322274884,0.5225080385852088,0.7225897920604911,0.07512520868113526,2
2012,FEB,0.052368117058144016,0.09715639810426557,0.32154340836012874,0.6356332703213603,0.7161936560934892,1
2013,FEB,0.0835579514824798,0.3364928909952605,0.47106109324758827,0.5827032136105865,0.5592654424040067,1
2014,FEB,0.06931074316519062,0.3234597156398107,0.35852090032154327,0.6266540642722118,0.5692821368948247,1
2015,FEB,0.14709279938390452,0.18127962085308091,0.5128617363344048,0.7585066162570886,0.6043405676126878,3
2016,FEB,0.1594147092799384,0.3755924170616116,0.5498392282958198,0.7065217391304346,0.3372287145242071,2
2017,FEB,0.057373892953407786,0.31753554502369674,0.4726688102893888,0.6573724007561434,0.8397328881469113,3
2018,FEB,0.12822487485560263,0.028436018957346043,0.4276527331189708,0.7542533081285443,0.7512520868113521,1
2019,FEB,0.057758952637658845,0.6327014218009479,0.4774919614147912,0.3468809073724004,0.642737896494157,1
2020,FEB,0.09742010011551791,0.26066350710900466,0.32797427652733124,0.7433837429111527,0.5826377295492489,3
2021,FEB,0.0581440123219099,0.24763033175355442,0.5610932475884243,0.6890359168241966,0.996661101836394,3
2022,FEB,0.06276472853292261,0.1872037914691944,0.09967845659163976,0.5080340264650278,0.7729549248747913,1
2023,FEB,0.11936850211782829,0.25592417061611394,0.2588424437299033,0.7008506616257089,0.5943238731218699,3
2024,FEB,0.15517905275317675,0.4063981042654028,0.32315112540192925,0.6687145557655949,0.9232053422370616,3
1981,MAR,0.06546014632268002,0.4751184834123223,0.11897106109324773,0.5808128544423443,0.1836393989983306,1
1982,MAR,0.05121293800539085,0.3992890995260665,0.28456591639871376,0.4371455576559544,0.682804674457429,1
1983,MAR,0.03504043126684637,0.8779620853080567,0.5273311897106108,0.27410207939508524,0.687813021702838,1
1984,MAR,0.02233346168656142,0.6824644549763037,0.34565916398713825,0.2849716446124759,0.39065108514190316,1
1985,MAR,0.01848286484405083,0.6872037914691944,0.37942122186495175,0.2292060491493384,0.69449081803005,1
1986,MAR,0.02117828263380824,0.5971563981042651,0.09163987138263674,0.25236294896030254,0.971619365609349,1
1987,MAR,0.025413939160569894,0.911137440758294,0.025723472668810254,0.29725897920604893,0.8797996661101835,1
